PassengerId,Survived,Pclass,Sex_encoded,Age,Age_scaled,SibSp,Parch,Fare,Fare_scaled,Has_Cabin,Embarked_C,Embarked_Q,Embarked_S,Pclass_norm
1,0,3,1,22.0,-0.5654188991856514,1,0,7.25,-0.5021631365156053,0,0,0,1,1.0
2,1,1,0,38.0,0.663488390424261,1,0,71.2833,0.7864036178345383,1,1,0,0,0.0
3,1,3,0,26.0,-0.25819207678317324,0,0,7.925,-0.48857985158126105,0,0,0,1,1.0
4,1,1,0,35.0,0.4330682736224024,1,0,53.1,0.4204940697654092,1,0,0,1,0.0
5,0,3,1,35.0,0.4330682736224024,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
6,0,3,1,28.0,-0.10457866558193422,0,0,8.4583,-0.4778480503138746,0,0,1,0,1.0
7,0,1,1,54.0,1.8923956800341732,0,0,51.8625,0.3955913807191113,1,0,0,1,0.0
8,0,3,1,2.0,-2.1015530111980416,3,1,21.075,-0.22395733767514675,0,0,0,1,1.0
9,1,3,0,27.0,-0.18138537118255374,0,2,11.1333,-0.42401799520369554,0,0,0,1,1.0
10,1,2,0,14.0,-1.1798725439906075,1,0,30.0708,-0.04293139010125909,0,1,0,0,0.5
11,1,3,0,4.0,-1.9479395999968028,1,1,16.7,-0.3119971474347855,1,0,0,1,1.0
12,1,1,0,58.0,2.1996225024366516,0,0,26.55,-0.11378180431879875,1,0,0,1,0.0
13,0,3,1,20.0,-0.7190323103868904,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
14,0,3,1,39.0,0.7402950960248805,1,5,31.275,-0.01869880977838891,0,0,0,1,1.0
15,0,3,0,14.0,-1.1798725439906075,0,0,7.8542,-0.4900045872454856,0,0,0,1,1.0
16,1,2,0,55.0,1.9692023856347929,0,0,16.0,-0.32608351699632776,0,0,0,1,0.5
17,0,3,1,2.0,-2.1015530111980416,4,1,29.125,-0.061964087717411374,0,0,1,0,1.0
18,1,2,1,28.0,-0.10457866558193422,0,0,13.0,-0.38645367226008004,0,0,0,1,0.5
19,0,3,0,31.0,0.12584145121992435,1,0,18.0,-0.28583674682049287,0,0,0,1,1.0
20,1,3,0,28.0,-0.10457866558193422,0,0,7.225,-0.5026662211428032,0,1,0,0,1.0
21,0,2,1,35.0,0.4330682736224024,0,0,26.0,-0.12484966611715337,0,0,0,1,0.5
22,1,2,1,34.0,0.3562615680217829,0,0,13.0,-0.38645367226008004,1,0,0,1,0.5
23,1,3,0,15.0,-1.103065838389988,0,0,8.0292,-0.48648299485510005,0,0,1,0,1.0
24,1,1,1,28.0,-0.10457866558193422,0,0,35.5,0.06632249221806229,1,0,0,1,0.0
25,0,3,0,8.0,-1.6407127775943247,3,1,21.075,-0.22395733767514675,0,0,0,1,1.0
26,1,3,0,38.0,0.663488390424261,1,5,31.3875,-0.016434928955998185,0,0,0,1,1.0
27,0,3,1,28.0,-0.10457866558193422,0,0,7.225,-0.5026662211428032,0,1,0,0,1.0
28,0,1,1,19.0,-0.79583901598751,3,2,263.0,4.644392599719279,1,0,0,1,0.0
29,1,3,0,28.0,-0.10457866558193422,0,0,7.8792,-0.4895015026182876,0,0,1,0,1.0
30,0,3,1,28.0,-0.10457866558193422,0,0,7.8958,-0.4891674544258282,0,0,0,1,1.0
31,0,1,1,40.0,0.8171018016255001,0,0,27.7208,-0.09022134505786503,0,1,0,0,0.0
32,1,1,0,28.0,-0.10457866558193422,1,0,146.5208,2.300436803386727,1,1,0,0,0.0
33,1,3,0,28.0,-0.10457866558193422,0,0,7.75,-0.49210144397164657,0,0,1,0,1.0
34,0,2,1,66.0,2.8140761472416074,0,0,10.5,-0.43676213497987365,0,0,0,1,0.5
35,0,1,1,28.0,-0.10457866558193422,1,0,82.1708,1.0054969729792393,0,1,0,0,0.0
36,0,1,1,42.0,0.970715212826739,1,0,52.0,0.39835834616870003,0,0,0,1,0.0
37,1,3,1,28.0,-0.10457866558193422,0,0,7.2292,-0.502581702925434,0,1,0,0,1.0
38,0,3,1,21.0,-0.6422256047862709,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
39,0,3,0,18.0,-0.8726457215881294,2,0,18.0,-0.28583674682049287,0,0,0,1,1.0
40,1,3,0,14.0,-1.1798725439906075,1,0,11.2417,-0.4218366202601652,0,1,0,0,1.0
41,0,3,0,40.0,0.8171018016255001,1,0,9.475,-0.457388604694989,0,0,0,1,1.0
42,0,2,0,27.0,-0.18138537118255374,1,0,21.0,-0.22546659155674054,0,0,0,1,0.5
43,0,3,1,28.0,-0.10457866558193422,0,0,7.8958,-0.4891674544258282,0,1,0,0,1.0
44,1,2,0,3.0,-2.0247463055974224,1,2,41.5792,0.18865657484452997,0,1,0,0,0.5
45,1,3,0,19.0,-0.79583901598751,0,0,7.8792,-0.4895015026182876,0,0,1,0,1.0
46,0,3,1,28.0,-0.10457866558193422,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
47,0,3,1,28.0,-0.10457866558193422,1,0,15.5,-0.3361452095402864,0,0,1,0,1.0
48,1,3,0,28.0,-0.10457866558193422,0,0,7.75,-0.49210144397164657,0,0,1,0,1.0
49,0,3,1,28.0,-0.10457866558193422,2,0,21.6792,-0.211798788405027,0,1,0,0,1.0
50,0,3,0,18.0,-0.8726457215881294,1,0,17.8,-0.28986142383807634,0,0,0,1,1.0
51,0,3,1,7.0,-1.717519483194944,4,1,39.6875,0.15058916727371655,0,0,0,1,1.0
52,0,3,1,21.0,-0.6422256047862709,0,0,7.8,-0.49109527471725073,0,0,0,1,1.0
53,1,1,0,49.0,1.5083621520310757,1,0,76.7292,0.895993560684828,1,1,0,0,0.0
54,1,2,0,29.0,-0.027771959981314702,1,0,26.0,-0.12484966611715337,0,0,0,1,0.5
55,0,1,1,65.0,2.737269441640988,0,1,61.9792,0.5991736306380456,1,1,0,0,0.0
56,1,1,1,28.0,-0.10457866558193422,0,0,35.5,0.06632249221806229,1,0,0,1,0.0
57,1,2,0,21.0,-0.6422256047862709,0,0,10.5,-0.43676213497987365,0,0,0,1,0.5
58,0,3,1,28.5,-0.06617531278162446,0,0,7.2292,-0.502581702925434,0,1,0,0,1.0
59,1,2,0,5.0,-1.8711328943961831,1,2,27.75,-0.08963374221329785,0,0,0,1,0.5
60,0,3,1,11.0,-1.410292660792466,5,2,46.9,0.29572908222032107,0,0,0,1,1.0
61,0,3,1,22.0,-0.5654188991856514,0,0,7.2292,-0.502581702925434,0,1,0,0,1.0
62,1,1,0,38.0,0.663488390424261,0,0,80.0,0.9618131286303883,1,0,0,1,0.0
63,0,1,1,45.0,1.2011353296285976,1,0,83.475,1.0317418918109011,1,0,0,1,0.0
64,0,3,1,4.0,-1.9479395999968028,3,2,27.9,-0.08661523445011025,0,0,0,1,1.0
65,0,1,1,28.0,-0.10457866558193422,0,0,27.7208,-0.09022134505786503,0,1,0,0,0.0
66,1,3,1,28.0,-0.10457866558193422,1,1,15.2458,-0.34126057402963506,0,1,0,0,1.0
67,1,2,0,29.0,-0.027771959981314702,0,0,10.5,-0.43676213497987365,1,0,0,1,0.5
68,0,3,1,19.0,-0.79583901598751,0,0,8.1583,-0.4838850658402499,0,0,0,1,1.0
69,1,3,0,17.0,-0.9494524271887489,4,2,7.925,-0.48857985158126105,0,0,0,1,1.0
70,0,3,1,26.0,-0.25819207678317324,2,0,8.6625,-0.4737388550789219,0,0,0,1,1.0
71,0,2,1,32.0,0.20264815682054385,0,0,10.5,-0.43676213497987365,0,0,0,1,0.5
72,0,3,0,16.0,-1.0262591327893684,5,2,46.9,0.29572908222032107,0,0,0,1,1.0
73,0,2,1,21.0,-0.6422256047862709,0,0,73.5,0.8310111255589249,0,0,0,1,0.5
74,0,3,1,26.0,-0.25819207678317324,1,0,14.4542,-0.3571902456652305,0,1,0,0,1.0
75,1,3,1,32.0,0.20264815682054385,0,0,56.4958,0.48882906084695926,0,0,0,1,1.0
76,0,3,1,25.0,-0.33499878238379277,0,0,7.65,-0.49411378248043836,1,0,0,1,1.0
77,0,3,1,28.0,-0.10457866558193422,0,0,7.8958,-0.4891674544258282,0,0,0,1,1.0
78,0,3,1,28.0,-0.10457866558193422,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
79,1,2,1,0.83,-2.1914168567507666,0,2,29.0,-0.06447951085340105,0,0,0,1,0.5
80,1,3,0,30.0,0.04903474561930482,0,0,12.475,-0.39701844943123665,0,0,0,1,1.0
81,0,3,1,22.0,-0.5654188991856514,0,0,9.0,-0.4669472126117498,0,0,0,1,1.0
82,1,3,1,29.0,-0.027771959981314702,0,0,9.5,-0.4568855200677911,0,0,0,1,1.0
83,1,3,0,28.0,-0.10457866558193422,0,0,7.7875,-0.49134681703084965,0,0,1,0,1.0
84,0,1,1,28.0,-0.10457866558193422,0,0,47.1,0.2997537592379046,0,0,0,1,0.0
85,1,2,0,17.0,-0.9494524271887489,0,0,10.5,-0.43676213497987365,0,0,0,1,0.5
86,1,3,0,33.0,0.27945486242116335,3,0,15.85,-0.32910202475951533,0,0,0,1,1.0
87,0,3,1,16.0,-1.0262591327893684,1,3,34.375,0.043683683994155176,0,0,0,1,1.0
88,0,3,1,28.0,-0.10457866558193422,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
89,1,1,0,23.0,-0.48861219358503183,3,2,263.0,4.644392599719279,1,0,0,1,0.0
90,0,3,1,24.0,-0.4118054879844123,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
91,0,3,1,29.0,-0.027771959981314702,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
92,0,3,1,20.0,-0.7190323103868904,0,0,7.8542,-0.4900045872454856,0,0,0,1,1.0
93,0,1,1,46.0,1.2779420352292172,1,0,61.175,0.5829904043503424,1,0,0,1,0.0
94,0,3,1,26.0,-0.25819207678317324,1,2,20.575,-0.23401903021910547,0,0,0,1,1.0
95,0,3,1,59.0,2.276429208037271,0,0,7.25,-0.5021631365156053,0,0,0,1,1.0
96,0,3,1,28.0,-0.10457866558193422,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0
97,0,1,1,71.0,3.198109675244705,0,0,34.6542,0.04930213311070178,1,1,0,0,0.0
98,1,1,1,23.0,-0.48861219358503183,0,1,63.3583,0.6269257910127927,1,1,0,0,0.0
99,1,2,0,34.0,0.3562615680217829,0,1,23.0,-0.18521982138090567,0,0,0,1,0.5
100,0,2,1,34.0,0.3562615680217829,1,0,26.0,-0.12484966611715337,0,0,0,1,0.5
101,0,3,0,28.0,-0.10457866558193422,0,0,7.8958,-0.4891674544258282,0,0,0,1,1.0
102,0,3,1,28.0,-0.10457866558193422,0,0,7.8958,-0.4891674544258282,0,0,0,1,1.0
103,0,1,1,21.0,-0.6422256047862709,0,1,77.2875,0.907228446579412,1,0,0,1,0.0
104,0,3,1,33.0,0.27945486242116335,0,0,8.6542,-0.47390587917515165,0,0,0,1,1.0
105,0,3,1,37.0,0.5866816848236415,2,0,7.925,-0.48857985158126105,0,0,0,1,1.0
