PassengerId,Survived,Pclass,Sex_encoded,Age,Age_scaled,SibSp,Parch,Fare,Fare_scaled,Has_Cabin,Embarked_C,Embarked_Q,Embarked_S,Pclass_norm,familySize,farePerPerson,isAlone,isChild,isBaby,isToddler,isTeen,isYoungAdult,isMiddleAge,isElderly,family_Alone,family_Small,family_Medium,family_Large,fare_Economy,fare_Standard,fare_Premium,fare_Luxury,title_Mr,title_Mrs,title_Miss,title_Master,title_Noble,title_Professional,title_Military,title_Other,age_class_interaction,fare_class_interaction,family_class_interaction,child_female_interaction,deck_Unknown,deck_Rare,women_children_first,status_Lower,status_Middle,status_Upper,age_squared,age_log,fare_log,fare_squared,long_name,has_shared_ticket,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F
1,0,3,1,22.0,-0.5654188991856514,1,0,7.25,-0.5021631365156053,0,0,0,1,1.0,2,3.625,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,66.0,10.875,6,0,1,0,0,1,0,0,484.0,3.1354942159291497,2.1102132003465894,52.5625,0,0,0,0,0,0,0,0
2,1,1,0,38.0,0.663488390424261,1,0,71.2833,0.7864036178345383,1,1,0,0,0.0,2,35.64165,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,38.0,35.64165,2,0,0,0,1,0,1,0,1444.0,3.6635616461296463,4.2805931204649,5081.30885889,1,0,0,0,1,0,0,0
3,1,3,0,26.0,-0.25819207678317324,0,0,7.925,-0.48857985158126105,0,0,0,1,1.0,1,7.925,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,78.0,23.775,3,0,1,0,1,1,0,0,676.0,3.295836866004329,2.188856327665703,62.805625,0,0,0,0,0,0,0,0
4,1,1,0,35.0,0.4330682736224024,1,0,53.1,0.4204940697654092,1,0,0,1,0.0,2,26.55,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,35.0,26.55,2,0,0,0,1,0,1,0,1225.0,3.58351893845611,3.9908341858524357,2819.61,1,1,0,0,1,0,0,0
5,0,3,1,35.0,0.4330682736224024,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0,1,8.05,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,105.0,24.150000000000002,3,0,1,0,0,1,0,0,1225.0,3.58351893845611,2.2027647577118348,64.80250000000001,0,0,0,0,0,0,0,0
6,0,3,1,28.0,-0.10457866558193422,0,0,8.4583,-0.4778480503138746,0,0,1,0,1.0,1,8.4583,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,84.0,25.374899999999997,3,0,1,0,0,1,0,0,784.0,3.367295829986474,2.246892662898172,71.54283888999998,0,0,0,0,0,0,0,0
7,0,1,1,54.0,1.8923956800341732,0,0,51.8625,0.3955913807191113,1,0,0,1,0.0,1,51.8625,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,54.0,51.8625,1,0,0,0,0,0,1,0,2916.0,4.007333185232471,3.967694202798607,2689.7189062499997,0,0,0,0,0,0,1,0
8,0,3,1,2.0,-2.1015530111980416,3,1,21.075,-0.22395733767514675,0,0,0,1,1.0,5,4.215,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,6.0,12.645,15,0,1,0,1,1,0,0,4.0,1.0986122886681098,3.0944457464900235,444.155625,0,1,0,0,0,0,0,0
9,1,3,0,27.0,-0.18138537118255374,0,2,11.1333,-0.42401799520369554,0,0,0,1,1.0,3,3.7111,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,81.0,11.1333,9,0,1,0,1,1,0,0,729.0,3.332204510175204,2.495953738718064,123.95036889000001,1,1,0,0,0,0,0,0
10,1,2,0,14.0,-1.1798725439906075,1,0,30.0708,-0.04293139010125909,0,1,0,0,0.5,2,15.0354,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,28.0,30.0708,4,0,1,0,1,0,1,0,196.0,2.70805020110221,3.436268471383741,904.25301264,1,1,0,0,0,0,0,0
11,1,3,0,4.0,-1.9479395999968028,1,1,16.7,-0.3119971474347855,1,0,0,1,1.0,3,5.566666666666666,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12.0,16.7,9,1,0,1,1,1,0,0,16.0,1.6094379124341003,2.8735646395797834,278.89,1,1,0,0,0,0,0,0
12,1,1,0,58.0,2.1996225024366516,0,0,26.55,-0.11378180431879875,1,0,0,1,0.0,1,26.55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,58.0,26.55,1,0,0,0,1,0,1,0,3364.0,4.07753744390572,3.3160025355989236,704.9025,0,0,0,0,1,0,0,0
13,0,3,1,20.0,-0.7190323103868904,0,0,8.05,-0.48606442844527137,0,0,0,1,1.0,1,8.05,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.0,24.150000000000002,3,0,1,0,0,1,0,0,400.0,3.044522437723423,2.2027647577118348,64.80250000000001,0,0,0,0,0,0,0,0
14,0,3,1,39.0,0.7402950960248805,1,5,31.275,-0.01869880977838891,0,0,0,1,1.0,7,4.4678571428571425,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,117.0,13.403571428571428,21,0,1,0,0,1,0,0,1521.0,3.6888794541139363,3.4742929367327062,978.1256249999999,0,1,0,0,0,0,0,0
15,0,3,0,14.0,-1.1798725439906075,0,0,7.8542,-0.4900045872454856,0,0,0,1,1.0,1,7.8542,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,42.0,23.5626,3,0,1,0,1,1,0,0,196.0,2.70805020110221,2.180891922715322,61.688457639999996,1,0,0,0,0,0,0,0
16,1,2,0,55.0,1.9692023856347929,0,0,16.0,-0.32608351699632776,0,0,0,1,0.5,1,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,110.0,32.0,2,0,1,0,1,0,1,0,3025.0,4.02535169073515,2.833213344056216,256.0,1,0,0,0,0,0,0,0
